id_queue;method;uid;code;object;path;storeCode;company;createDate;status;attemps
14;POST;70d926cb-ace0-4a59-884c-202f4e0197b9;;CreditNoteDTO;core-engine/creditnote/sync?code=70d926cb-ace0-4a59-884c-202f4e0197b9;ST008;AZALEIA;2024-10-07 09:36:31;PENDING;
15;POST;e6c6cddf-85df-4bed-b19f-077d5e46ae0f;F001-00000011;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=e6c6cddf-85df-4bed-b19f-077d5e46ae0f;ST008;AZALEIA;2024-10-07 09:36:33;PENDING;
16;POST;d09569c8-84fe-4dd0-9c14-58e21ec56fd9;;PaymentDTO;core-engine/payment/sync?code=d09569c8-84fe-4dd0-9c14-58e21ec56fd9;ST008;AZALEIA;2024-10-07 09:36:33;PENDING;
17;POST;8c0b9e5b-0c1d-457b-b4d0-bbe02fd365cc;;CreditNoteDTO;core-engine/creditnote/sync?code=8c0b9e5b-0c1d-457b-b4d0-bbe02fd365cc;ST008;AZALEIA;2024-10-07 09:36:33;PENDING;
18;POST;c720b84b-6489-4463-883e-70f9392ccdc4;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=c720b84b-6489-4463-883e-70f9392ccdc4;ST008;AZALEIA;2024-10-07 09:36:33;PENDING;
19;POST;de311da4-7c58-4afe-b1c8-0084e918c4f9;F001-00000012;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=de311da4-7c58-4afe-b1c8-0084e918c4f9;ST008;AZALEIA;2024-10-07 09:36:35;PENDING;
20;POST;7c87da91-ab47-4c8c-a1e5-22d231736381;;PaymentWorkerDTO;core-engine/payment-worker/sync?code=7c87da91-ab47-4c8c-a1e5-22d231736381;ST008;AZALEIA;2024-10-07 09:36:35;PENDING;
21;POST;41f7d95f-a219-4a0a-9d43-eab24c48db56;;CreditNoteDTO;core-engine/creditnote/sync?code=41f7d95f-a219-4a0a-9d43-eab24c48db56;ST008;AZALEIA;2024-10-07 09:36:35;PENDING;
22;POST;0a29427e-b29a-4419-8a13-6c432d6272d7;;StockTransferDTO;core-engine/stock-transfer/sync?code=0a29427e-b29a-4419-8a13-6c432d6272d7;ST008;AZALEIA;2024-10-07 09:36:37;PENDING;
23;POST;ac5526e7-d13b-4d2b-9e33-02a5c9fed170;F001-00000013;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=ac5526e7-d13b-4d2b-9e33-02a5c9fed170;ST008;AZALEIA;2024-10-07 09:36:37;PENDING;
24;POST;06612ecf-faaa-482d-a8ac-c7f2dba9d8f7;;PaymentDTO;core-engine/payment/sync?code=06612ecf-faaa-482d-a8ac-c7f2dba9d8f7;ST008;AZALEIA;2024-10-07 09:36:38;PENDING;
25;POST;b6bd0260-6c24-4b40-81b2-4ce8b6f102ae;;PaymentDTO;core-engine/payment/sync?code=b6bd0260-6c24-4b40-81b2-4ce8b6f102ae;ST008;AZALEIA;2024-10-07 09:36:38;PENDING;
26;POST;1ff5c7dd-70e5-42ba-bc96-22d699da8f48;;ReferralGuideDTO;core-engine/delivery/sync?code=1ff5c7dd-70e5-42ba-bc96-22d699da8f48;ST008;AZALEIA;2024-10-07 09:36:39;PENDING;1
27;POST;33715b28-5972-437c-be29-fdea46f758f6;;CreditNoteDTO;core-engine/creditnote/sync?code=33715b28-5972-437c-be29-fdea46f758f6;ST008;AZALEIA;2024-10-07 09:36:39;PENDING;
28;POST;42d336c1-1273-4381-ba09-c733038f8bf3;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=42d336c1-1273-4381-ba09-c733038f8bf3;ST008;AZALEIA;2024-10-07 09:36:40;PENDING;
29;POST;6e8fcd9f-e9d2-49ac-a841-8d16b7970162;F001-00000014;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=6e8fcd9f-e9d2-49ac-a841-8d16b7970162;ST008;AZALEIA;2024-10-07 09:36:43;PENDING;
30;POST;af09ef7d-82eb-48f8-963f-221c4f53fb50;;PaymentDTO;core-engine/payment/sync?code=af09ef7d-82eb-48f8-963f-221c4f53fb50;ST008;AZALEIA;2024-10-07 09:36:43;PENDING;
31;POST;3233ebe7-639c-4137-927e-d55cf0528e10;;CreditNoteDTO;core-engine/creditnote/sync?code=3233ebe7-639c-4137-927e-d55cf0528e10;ST008;AZALEIA;2024-10-07 09:36:44;PENDING;
32;POST;9e969db1-684f-4118-a028-fa384920a522;F001-00000015;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=9e969db1-684f-4118-a028-fa384920a522;ST008;AZALEIA;2024-10-07 09:36:46;PENDING;
33;POST;bb140a1a-0bd7-4bd1-a4db-24e57bfb5776;;PaymentDTO;core-engine/payment/sync?code=bb140a1a-0bd7-4bd1-a4db-24e57bfb5776;ST008;AZALEIA;2024-10-07 09:36:46;PENDING;
